date,source,unit,State,year,month,value
2024-01-15,Coal,MW,Andhra Pradesh,2024,1,13190
2024-02-15,Coal,MW,Andhra Pradesh,2024,2,13190
2024-03-15,Coal,MW,Andhra Pradesh,2024,3,13190
2024-04-15,Coal,MW,Andhra Pradesh,2024,4,13190
2024-05-15,Coal,MW,Andhra Pradesh,2024,5,13190
2024-06-15,Coal,MW,Andhra Pradesh,2024,6,13190
2024-07-15,Coal,MW,Andhra Pradesh,2024,7,13190
2024-08-15,Coal,MW,Andhra Pradesh,2024,8,13190
2024-09-15,Coal,MW,Andhra Pradesh,2024,9,13190
2024-10-15,Coal,MW,Andhra Pradesh,2024,10,13190
2024-11-15,Coal,MW,Andhra Pradesh,2024,11,13190
2024-12-15,Coal,MW,Andhra Pradesh,2024,12,13190
2025-01-15,Coal,MW,Andhra Pradesh,2025,1,13190
2025-02-15,Coal,MW,Andhra Pradesh,2025,2,13190
2025-03-15,Coal,MW,Andhra Pradesh,2025,3,13190
2025-04-15,Coal,MW,Andhra Pradesh,2025,4,13190
2025-05-15,Coal,MW,Andhra Pradesh,2025,5,13190
2025-06-15,Coal,MW,Andhra Pradesh,2025,6,13190
2025-07-15,Coal,MW,Andhra Pradesh,2025,7,13540
2025-08-15,Coal,MW,Andhra Pradesh,2025,8,13890
2024-01-15,Oil & Gas,MW,Andhra Pradesh,2024,1,4898.54
2024-02-15,Oil & Gas,MW,Andhra Pradesh,2024,2,4898.54
2024-03-15,Oil & Gas,MW,Andhra Pradesh,2024,3,4898.54
2024-04-15,Oil & Gas,MW,Andhra Pradesh,2024,4,4678.54
2024-05-15,Oil & Gas,MW,Andhra Pradesh,2024,5,4678.54
2024-06-15,Oil & Gas,MW,Andhra Pradesh,2024,6,4678.54
2024-07-15,Oil & Gas,MW,Andhra Pradesh,2024,7,4678.54
2024-08-15,Oil & Gas,MW,Andhra Pradesh,2024,8,4678.54
2024-09-15,Oil & Gas,MW,Andhra Pradesh,2024,9,4678.54
2024-10-15,Oil & Gas,MW,Andhra Pradesh,2024,10,4678.54
2024-11-15,Oil & Gas,MW,Andhra Pradesh,2024,11,4678.54
2024-12-15,Oil & Gas,MW,Andhra Pradesh,2024,12,4678.54
2025-01-15,Oil & Gas,MW,Andhra Pradesh,2025,1,4678.54
2025-02-15,Oil & Gas,MW,Andhra Pradesh,2025,2,4678.54
2025-03-15,Oil & Gas,MW,Andhra Pradesh,2025,3,4678.54
2025-04-15,Oil & Gas,MW,Andhra Pradesh,2025,4,1739.4
2025-05-15,Oil & Gas,MW,Andhra Pradesh,2025,5,1739.4
2025-06-15,Oil & Gas,MW,Andhra Pradesh,2025,6,1739.4
2025-07-15,Oil & Gas,MW,Andhra Pradesh,2025,7,1739.4
2025-08-15,Oil & Gas,MW,Andhra Pradesh,2025,8,1739.4
2024-01-15,Nuclear,MW,Andhra Pradesh,2024,1,
2024-02-15,Nuclear,MW,Andhra Pradesh,2024,2,
2024-03-15,Nuclear,MW,Andhra Pradesh,2024,3,
2024-04-15,Nuclear,MW,Andhra Pradesh,2024,4,
2024-05-15,Nuclear,MW,Andhra Pradesh,2024,5,
2024-06-15,Nuclear,MW,Andhra Pradesh,2024,6,
2024-07-15,Nuclear,MW,Andhra Pradesh,2024,7,
2024-08-15,Nuclear,MW,Andhra Pradesh,2024,8,
2024-09-15,Nuclear,MW,Andhra Pradesh,2024,9,
2024-10-15,Nuclear,MW,Andhra Pradesh,2024,10,
2024-11-15,Nuclear,MW,Andhra Pradesh,2024,11,
2024-12-15,Nuclear,MW,Andhra Pradesh,2024,12,
2025-01-15,Nuclear,MW,Andhra Pradesh,2025,1,
2025-02-15,Nuclear,MW,Andhra Pradesh,2025,2,
2025-03-15,Nuclear,MW,Andhra Pradesh,2025,3,
2025-04-15,Nuclear,MW,Andhra Pradesh,2025,4,
2025-05-15,Nuclear,MW,Andhra Pradesh,2025,5,
2025-06-15,Nuclear,MW,Andhra Pradesh,2025,6,
2025-07-15,Nuclear,MW,Andhra Pradesh,2025,7,
2025-08-15,Nuclear,MW,Andhra Pradesh,2025,8,
2024-01-15,Hydro,MW,Andhra Pradesh,2024,1,1610
2024-02-15,Hydro,MW,Andhra Pradesh,2024,2,1610
2024-03-15,Hydro,MW,Andhra Pradesh,2024,3,1610
2024-04-15,Hydro,MW,Andhra Pradesh,2024,4,1610
2024-05-15,Hydro,MW,Andhra Pradesh,2024,5,1610
2024-06-15,Hydro,MW,Andhra Pradesh,2024,6,1610
2024-07-15,Hydro,MW,Andhra Pradesh,2024,7,1610
2024-08-15,Hydro,MW,Andhra Pradesh,2024,8,1610
2024-09-15,Hydro,MW,Andhra Pradesh,2024,9,1610
2024-10-15,Hydro,MW,Andhra Pradesh,2024,10,1610
2024-11-15,Hydro,MW,Andhra Pradesh,2024,11,1610
2024-12-15,Hydro,MW,Andhra Pradesh,2024,12,1610
2025-01-15,Hydro,MW,Andhra Pradesh,2025,1,1610
2025-02-15,Hydro,MW,Andhra Pradesh,2025,2,1610
2025-03-15,Hydro,MW,Andhra Pradesh,2025,3,1610
2025-04-15,Hydro,MW,Andhra Pradesh,2025,4,1610
2025-05-15,Hydro,MW,Andhra Pradesh,2025,5,1610
2025-06-15,Hydro,MW,Andhra Pradesh,2025,6,2810
2025-07-15,Hydro,MW,Andhra Pradesh,2025,7,2810
2025-08-15,Hydro,MW,Andhra Pradesh,2025,8,3050
2024-01-15,Solar,MW,Andhra Pradesh,2024,1,4565.6
2024-02-15,Solar,MW,Andhra Pradesh,2024,2,4566.85
2024-03-15,Solar,MW,Andhra Pradesh,2024,3,4584.98
2024-04-15,Solar,MW,Andhra Pradesh,2024,4,4590.06
2024-05-15,Solar,MW,Andhra Pradesh,2024,5,4613.3
2024-06-15,Solar,MW,Andhra Pradesh,2024,6,4623.2
2024-07-15,Solar,MW,Andhra Pradesh,2024,7,4623.2
2024-08-15,Solar,MW,Andhra Pradesh,2024,8,4627.47
2024-09-15,Solar,MW,Andhra Pradesh,2024,9,4648.18
2024-10-15,Solar,MW,Andhra Pradesh,2024,10,4650.89
2024-11-15,Solar,MW,Andhra Pradesh,2024,11,4653.6
2024-12-15,Solar,MW,Andhra Pradesh,2024,12,4730.27
2025-01-15,Solar,MW,Andhra Pradesh,2025,1,4736.47
2025-02-15,Solar,MW,Andhra Pradesh,2025,2,5179.23
2025-03-15,Solar,MW,Andhra Pradesh,2025,3,5370
2025-04-15,Solar,MW,Andhra Pradesh,2025,4,5406.9
2025-05-15,Solar,MW,Andhra Pradesh,2025,5,5434.38
2025-06-15,Solar,MW,Andhra Pradesh,2025,6,5507.48
2025-07-15,Solar,MW,Andhra Pradesh,2025,7,5523.28
2025-08-15,Solar,MW,Andhra Pradesh,2025,8,5742.54
2024-01-15,Wind,MW,Andhra Pradesh,2024,1,4096.65
2024-02-15,Wind,MW,Andhra Pradesh,2024,2,4096.65
2024-03-15,Wind,MW,Andhra Pradesh,2024,3,4096.65
2024-04-15,Wind,MW,Andhra Pradesh,2024,4,4096.65
2024-05-15,Wind,MW,Andhra Pradesh,2024,5,4096.65
2024-06-15,Wind,MW,Andhra Pradesh,2024,6,4096.65
2024-07-15,Wind,MW,Andhra Pradesh,2024,7,4096.65
2024-08-15,Wind,MW,Andhra Pradesh,2024,8,4096.65
2024-09-15,Wind,MW,Andhra Pradesh,2024,9,4096.65
2024-10-15,Wind,MW,Andhra Pradesh,2024,10,4096.65
2024-11-15,Wind,MW,Andhra Pradesh,2024,11,4096.65
2024-12-15,Wind,MW,Andhra Pradesh,2024,12,4096.65
2025-01-15,Wind,MW,Andhra Pradesh,2025,1,4096.65
2025-02-15,Wind,MW,Andhra Pradesh,2025,2,4096.65
2025-03-15,Wind,MW,Andhra Pradesh,2025,3,4377.15
2025-04-15,Wind,MW,Andhra Pradesh,2025,4,4397.78
2025-05-15,Wind,MW,Andhra Pradesh,2025,5,4397.78
2025-06-15,Wind,MW,Andhra Pradesh,2025,6,4397.78
2025-07-15,Wind,MW,Andhra Pradesh,2025,7,4397.78
2025-08-15,Wind,MW,Andhra Pradesh,2025,8,4397.78
2024-01-15,Small-Hydro,MW,Andhra Pradesh,2024,1,163.31
2024-02-15,Small-Hydro,MW,Andhra Pradesh,2024,2,163.31
2024-03-15,Small-Hydro,MW,Andhra Pradesh,2024,3,163.31
2024-04-15,Small-Hydro,MW,Andhra Pradesh,2024,4,163.31
2024-05-15,Small-Hydro,MW,Andhra Pradesh,2024,5,163.31
2024-06-15,Small-Hydro,MW,Andhra Pradesh,2024,6,163.31
2024-07-15,Small-Hydro,MW,Andhra Pradesh,2024,7,163.31
2024-08-15,Small-Hydro,MW,Andhra Pradesh,2024,8,163.31
2024-09-15,Small-Hydro,MW,Andhra Pradesh,2024,9,163.31
2024-10-15,Small-Hydro,MW,Andhra Pradesh,2024,10,163.31
2024-11-15,Small-Hydro,MW,Andhra Pradesh,2024,11,163.31
2024-12-15,Small-Hydro,MW,Andhra Pradesh,2024,12,163.31
2025-01-15,Small-Hydro,MW,Andhra Pradesh,2025,1,163.31
2025-02-15,Small-Hydro,MW,Andhra Pradesh,2025,2,163.31
2025-03-15,Small-Hydro,MW,Andhra Pradesh,2025,3,163.31
2025-04-15,Small-Hydro,MW,Andhra Pradesh,2025,4,163.31
2025-05-15,Small-Hydro,MW,Andhra Pradesh,2025,5,163.31
2025-06-15,Small-Hydro,MW,Andhra Pradesh,2025,6,163.31
2025-07-15,Small-Hydro,MW,Andhra Pradesh,2025,7,163.31
2025-08-15,Small-Hydro,MW,Andhra Pradesh,2025,8,163.31
2024-01-15,Bio Power,MW,Andhra Pradesh,2024,1,566.39
2024-02-15,Bio Power,MW,Andhra Pradesh,2024,2,566.39
2024-03-15,Bio Power,MW,Andhra Pradesh,2024,3,574.39
2024-04-15,Bio Power,MW,Andhra Pradesh,2024,4,574.39
2024-05-15,Bio Power,MW,Andhra Pradesh,2024,5,574.39
2024-06-15,Bio Power,MW,Andhra Pradesh,2024,6,574.39
2024-07-15,Bio Power,MW,Andhra Pradesh,2024,7,574.39
2024-08-15,Bio Power,MW,Andhra Pradesh,2024,8,574.39
2024-09-15,Bio Power,MW,Andhra Pradesh,2024,9,574.39
2024-10-15,Bio Power,MW,Andhra Pradesh,2024,10,574.39
2024-11-15,Bio Power,MW,Andhra Pradesh,2024,11,574.39
2024-12-15,Bio Power,MW,Andhra Pradesh,2024,12,574.39
2025-01-15,Bio Power,MW,Andhra Pradesh,2025,1,574.39
2025-02-15,Bio Power,MW,Andhra Pradesh,2025,2,574.39
2025-03-15,Bio Power,MW,Andhra Pradesh,2025,3,594.02
2025-04-15,Bio Power,MW,Andhra Pradesh,2025,4,594.02
2025-05-15,Bio Power,MW,Andhra Pradesh,2025,5,594.02
2025-06-15,Bio Power,MW,Andhra Pradesh,2025,6,594.02
2025-07-15,Bio Power,MW,Andhra Pradesh,2025,7,594.02
2025-08-15,Bio Power,MW,Andhra Pradesh,2025,8,594.02
2024-01-15,Coal,MW,Telangana,2024,1,8642.5
2024-02-15,Coal,MW,Telangana,2024,2,9442.5
2024-03-15,Coal,MW,Telangana,2024,3,9442.5
2024-04-15,Coal,MW,Telangana,2024,4,9442.5
2024-05-15,Coal,MW,Telangana,2024,5,9442.5
2024-06-15,Coal,MW,Telangana,2024,6,9442.5
2024-07-15,Coal,MW,Telangana,2024,7,9442.5
2024-08-15,Coal,MW,Telangana,2024,8,9442.5
2024-09-15,Coal,MW,Telangana,2024,9,9442.5
2024-10-15,Coal,MW,Telangana,2024,10,9442.5
2024-11-15,Coal,MW,Telangana,2024,11,9442.5
2024-12-15,Coal,MW,Telangana,2024,12,9442.5
2025-01-15,Coal,MW,Telangana,2025,1,10242.5
2025-02-15,Coal,MW,Telangana,2025,2,10242.5
2025-03-15,Coal,MW,Telangana,2025,3,10242.5
2025-04-15,Coal,MW,Telangana,2025,4,10242.5
2025-05-15,Coal,MW,Telangana,2025,5,10242.5
2025-06-15,Coal,MW,Telangana,2025,6,10242.5
2025-07-15,Coal,MW,Telangana,2025,7,11042.5
2025-08-15,Coal,MW,Telangana,2025,8,11042.5
2024-01-15,Oil & Gas,MW,Telangana,2024,1,
2024-02-15,Oil & Gas,MW,Telangana,2024,2,
2024-03-15,Oil & Gas,MW,Telangana,2024,3,
2024-04-15,Oil & Gas,MW,Telangana,2024,4,
2024-05-15,Oil & Gas,MW,Telangana,2024,5,
2024-06-15,Oil & Gas,MW,Telangana,2024,6,
2024-07-15,Oil & Gas,MW,Telangana,2024,7,
2024-08-15,Oil & Gas,MW,Telangana,2024,8,
2024-09-15,Oil & Gas,MW,Telangana,2024,9,
2024-10-15,Oil & Gas,MW,Telangana,2024,10,
2024-11-15,Oil & Gas,MW,Telangana,2024,11,
2024-12-15,Oil & Gas,MW,Telangana,2024,12,
2025-01-15,Oil & Gas,MW,Telangana,2025,1,
2025-02-15,Oil & Gas,MW,Telangana,2025,2,
2025-03-15,Oil & Gas,MW,Telangana,2025,3,
2025-04-15,Oil & Gas,MW,Telangana,2025,4,
2025-05-15,Oil & Gas,MW,Telangana,2025,5,
2025-06-15,Oil & Gas,MW,Telangana,2025,6,
2025-07-15,Oil & Gas,MW,Telangana,2025,7,
2025-08-15,Oil & Gas,MW,Telangana,2025,8,
2024-01-15,Nuclear,MW,Telangana,2024,1,
2024-02-15,Nuclear,MW,Telangana,2024,2,
2024-03-15,Nuclear,MW,Telangana,2024,3,
2024-04-15,Nuclear,MW,Telangana,2024,4,
2024-05-15,Nuclear,MW,Telangana,2024,5,
2024-06-15,Nuclear,MW,Telangana,2024,6,
2024-07-15,Nuclear,MW,Telangana,2024,7,
2024-08-15,Nuclear,MW,Telangana,2024,8,
2024-09-15,Nuclear,MW,Telangana,2024,9,
2024-10-15,Nuclear,MW,Telangana,2024,10,
2024-11-15,Nuclear,MW,Telangana,2024,11,
2024-12-15,Nuclear,MW,Telangana,2024,12,
2025-01-15,Nuclear,MW,Telangana,2025,1,
2025-02-15,Nuclear,MW,Telangana,2025,2,
2025-03-15,Nuclear,MW,Telangana,2025,3,
2025-04-15,Nuclear,MW,Telangana,2025,4,
2025-05-15,Nuclear,MW,Telangana,2025,5,
2025-06-15,Nuclear,MW,Telangana,2025,6,
2025-07-15,Nuclear,MW,Telangana,2025,7,
2025-08-15,Nuclear,MW,Telangana,2025,8,
2024-01-15,Hydro,MW,Telangana,2024,1,2405.6
2024-02-15,Hydro,MW,Telangana,2024,2,2405.6
2024-03-15,Hydro,MW,Telangana,2024,3,2405.6
2024-04-15,Hydro,MW,Telangana,2024,4,2405.6
2024-05-15,Hydro,MW,Telangana,2024,5,2405.6
2024-06-15,Hydro,MW,Telangana,2024,6,2405.6
2024-07-15,Hydro,MW,Telangana,2024,7,2405.6
2024-08-15,Hydro,MW,Telangana,2024,8,2405.6
2024-09-15,Hydro,MW,Telangana,2024,9,2405.6
2024-10-15,Hydro,MW,Telangana,2024,10,2405.6
2024-11-15,Hydro,MW,Telangana,2024,11,2405.6
2024-12-15,Hydro,MW,Telangana,2024,12,2405.6
2025-01-15,Hydro,MW,Telangana,2025,1,2405.6
2025-02-15,Hydro,MW,Telangana,2025,2,2405.6
2025-03-15,Hydro,MW,Telangana,2025,3,2405.6
2025-04-15,Hydro,MW,Telangana,2025,4,2405.6
2025-05-15,Hydro,MW,Telangana,2025,5,2405.6
2025-06-15,Hydro,MW,Telangana,2025,6,2405.6
2025-07-15,Hydro,MW,Telangana,2025,7,2405.6
2025-08-15,Hydro,MW,Telangana,2025,8,2405.6
2024-01-15,Solar,MW,Telangana,2024,1,4712.98
2024-02-15,Solar,MW,Telangana,2024,2,4712.98
2024-03-15,Solar,MW,Telangana,2024,3,4758.16
2024-04-15,Solar,MW,Telangana,2024,4,4758.16
2024-05-15,Solar,MW,Telangana,2024,5,4770.01
2024-06-15,Solar,MW,Telangana,2024,6,4803.71
2024-07-15,Solar,MW,Telangana,2024,7,4816.74
2024-08-15,Solar,MW,Telangana,2024,8,4816.74
2024-09-15,Solar,MW,Telangana,2024,9,4816.74
2024-10-15,Solar,MW,Telangana,2024,10,4842.1
2024-11-15,Solar,MW,Telangana,2024,11,4842.1
2024-12-15,Solar,MW,Telangana,2024,12,4842.1
2025-01-15,Solar,MW,Telangana,2025,1,4842.1
2025-02-15,Solar,MW,Telangana,2025,2,4842.1
2025-03-15,Solar,MW,Telangana,2025,3,4842.1
2025-04-15,Solar,MW,Telangana,2025,4,4842.1
2025-05-15,Solar,MW,Telangana,2025,5,4842.1
2025-06-15,Solar,MW,Telangana,2025,6,4842.1
2025-07-15,Solar,MW,Telangana,2025,7,5002.7
2025-08-15,Solar,MW,Telangana,2025,8,5002.7
2024-01-15,Wind,MW,Telangana,2024,1,128.1
2024-02-15,Wind,MW,Telangana,2024,2,128.1
2024-03-15,Wind,MW,Telangana,2024,3,128.1
2024-04-15,Wind,MW,Telangana,2024,4,128.1
2024-05-15,Wind,MW,Telangana,2024,5,128.1
2024-06-15,Wind,MW,Telangana,2024,6,128.1
2024-07-15,Wind,MW,Telangana,2024,7,128.1
2024-08-15,Wind,MW,Telangana,2024,8,128.1
2024-09-15,Wind,MW,Telangana,2024,9,128.1
2024-10-15,Wind,MW,Telangana,2024,10,128.1
2024-11-15,Wind,MW,Telangana,2024,11,128.1
2024-12-15,Wind,MW,Telangana,2024,12,128.1
2025-01-15,Wind,MW,Telangana,2025,1,128.1
2025-02-15,Wind,MW,Telangana,2025,2,128.1
2025-03-15,Wind,MW,Telangana,2025,3,128.1
2025-04-15,Wind,MW,Telangana,2025,4,128.1
2025-05-15,Wind,MW,Telangana,2025,5,128.1
2025-06-15,Wind,MW,Telangana,2025,6,128.1
2025-07-15,Wind,MW,Telangana,2025,7,128.1
2025-08-15,Wind,MW,Telangana,2025,8,128.1
2024-01-15,Small-Hydro,MW,Telangana,2024,1,90.87
2024-02-15,Small-Hydro,MW,Telangana,2024,2,90.87
2024-03-15,Small-Hydro,MW,Telangana,2024,3,90.87
2024-04-15,Small-Hydro,MW,Telangana,2024,4,90.87
2024-05-15,Small-Hydro,MW,Telangana,2024,5,90.87
2024-06-15,Small-Hydro,MW,Telangana,2024,6,90.87
2024-07-15,Small-Hydro,MW,Telangana,2024,7,90.87
2024-08-15,Small-Hydro,MW,Telangana,2024,8,90.87
2024-09-15,Small-Hydro,MW,Telangana,2024,9,90.87
2024-10-15,Small-Hydro,MW,Telangana,2024,10,90.87
2024-11-15,Small-Hydro,MW,Telangana,2024,11,90.87
2024-12-15,Small-Hydro,MW,Telangana,2024,12,90.87
2025-01-15,Small-Hydro,MW,Telangana,2025,1,90.87
2025-02-15,Small-Hydro,MW,Telangana,2025,2,90.87
2025-03-15,Small-Hydro,MW,Telangana,2025,3,90.87
2025-04-15,Small-Hydro,MW,Telangana,2025,4,90.87
2025-05-15,Small-Hydro,MW,Telangana,2025,5,90.87
2025-06-15,Small-Hydro,MW,Telangana,2025,6,90.87
2025-07-15,Small-Hydro,MW,Telangana,2025,7,90.87
2025-08-15,Small-Hydro,MW,Telangana,2025,8,90.87
2024-01-15,Bio Power,MW,Telangana,2024,1,220.37
2024-02-15,Bio Power,MW,Telangana,2024,2,220.37
2024-03-15,Bio Power,MW,Telangana,2024,3,221.67
2024-04-15,Bio Power,MW,Telangana,2024,4,221.67
2024-05-15,Bio Power,MW,Telangana,2024,5,221.67
2024-06-15,Bio Power,MW,Telangana,2024,6,221.67
2024-07-15,Bio Power,MW,Telangana,2024,7,221.67
2024-08-15,Bio Power,MW,Telangana,2024,8,221.67
2024-09-15,Bio Power,MW,Telangana,2024,9,221.67
2024-10-15,Bio Power,MW,Telangana,2024,10,221.67
2024-11-15,Bio Power,MW,Telangana,2024,11,221.67
2024-12-15,Bio Power,MW,Telangana,2024,12,221.67
2025-01-15,Bio Power,MW,Telangana,2025,1,221.67
2025-02-15,Bio Power,MW,Telangana,2025,2,221.67
2025-03-15,Bio Power,MW,Telangana,2025,3,221.67
2025-04-15,Bio Power,MW,Telangana,2025,4,221.67
2025-05-15,Bio Power,MW,Telangana,2025,5,221.67
2025-06-15,Bio Power,MW,Telangana,2025,6,221.67
2025-07-15,Bio Power,MW,Telangana,2025,7,221.67
2025-08-15,Bio Power,MW,Telangana,2025,8,221.67
2024-01-15,Coal,MW,Karnataka,2024,1,9480
2024-02-15,Coal,MW,Karnataka,2024,2,9480
2024-03-15,Coal,MW,Karnataka,2024,3,9480
2024-04-15,Coal,MW,Karnataka,2024,4,9480
2024-05-15,Coal,MW,Karnataka,2024,5,9480
2024-06-15,Coal,MW,Karnataka,2024,6,9480
2024-07-15,Coal,MW,Karnataka,2024,7,9480
2024-08-15,Coal,MW,Karnataka,2024,8,9480
2024-09-15,Coal,MW,Karnataka,2024,9,9480
2024-10-15,Coal,MW,Karnataka,2024,10,9480
2024-11-15,Coal,MW,Karnataka,2024,11,9480
2024-12-15,Coal,MW,Karnataka,2024,12,9480
2025-01-15,Coal,MW,Karnataka,2025,1,9480
2025-02-15,Coal,MW,Karnataka,2025,2,9480
2025-03-15,Coal,MW,Karnataka,2025,3,9480
2025-04-15,Coal,MW,Karnataka,2025,4,9480
2025-05-15,Coal,MW,Karnataka,2025,5,9480
2025-06-15,Coal,MW,Karnataka,2025,6,9480
2025-07-15,Coal,MW,Karnataka,2025,7,9480
2025-08-15,Coal,MW,Karnataka,2025,8,9480
2024-01-15,Oil & Gas,MW,Karnataka,2024,1,
2024-02-15,Oil & Gas,MW,Karnataka,2024,2,
2024-03-15,Oil & Gas,MW,Karnataka,2024,3,
2024-04-15,Oil & Gas,MW,Karnataka,2024,4,
2024-05-15,Oil & Gas,MW,Karnataka,2024,5,
2024-06-15,Oil & Gas,MW,Karnataka,2024,6,
2024-07-15,Oil & Gas,MW,Karnataka,2024,7,
2024-08-15,Oil & Gas,MW,Karnataka,2024,8,
2024-09-15,Oil & Gas,MW,Karnataka,2024,9,
2024-10-15,Oil & Gas,MW,Karnataka,2024,10,
2024-11-15,Oil & Gas,MW,Karnataka,2024,11,
2024-12-15,Oil & Gas,MW,Karnataka,2024,12,
2025-01-15,Oil & Gas,MW,Karnataka,2025,1,370.05
2025-02-15,Oil & Gas,MW,Karnataka,2025,2,370.05
2025-03-15,Oil & Gas,MW,Karnataka,2025,3,370.05
2025-04-15,Oil & Gas,MW,Karnataka,2025,4,370.05
2025-05-15,Oil & Gas,MW,Karnataka,2025,5,370.05
2025-06-15,Oil & Gas,MW,Karnataka,2025,6,370.05
2025-07-15,Oil & Gas,MW,Karnataka,2025,7,370.05
2025-08-15,Oil & Gas,MW,Karnataka,2025,8,370.05
2024-01-15,Nuclear,MW,Karnataka,2024,1,880
2024-02-15,Nuclear,MW,Karnataka,2024,2,880
2024-03-15,Nuclear,MW,Karnataka,2024,3,880
2024-04-15,Nuclear,MW,Karnataka,2024,4,880
2024-05-15,Nuclear,MW,Karnataka,2024,5,880
2024-06-15,Nuclear,MW,Karnataka,2024,6,880
2024-07-15,Nuclear,MW,Karnataka,2024,7,880
2024-08-15,Nuclear,MW,Karnataka,2024,8,880
2024-09-15,Nuclear,MW,Karnataka,2024,9,880
2024-10-15,Nuclear,MW,Karnataka,2024,10,880
2024-11-15,Nuclear,MW,Karnataka,2024,11,880
2024-12-15,Nuclear,MW,Karnataka,2024,12,880
2025-01-15,Nuclear,MW,Karnataka,2025,1,880
2025-02-15,Nuclear,MW,Karnataka,2025,2,880
2025-03-15,Nuclear,MW,Karnataka,2025,3,880
2025-04-15,Nuclear,MW,Karnataka,2025,4,880
2025-05-15,Nuclear,MW,Karnataka,2025,5,880
2025-06-15,Nuclear,MW,Karnataka,2025,6,880
2025-07-15,Nuclear,MW,Karnataka,2025,7,880
2025-08-15,Nuclear,MW,Karnataka,2025,8,880
2024-01-15,Hydro,MW,Karnataka,2024,1,3689.2
2024-02-15,Hydro,MW,Karnataka,2024,2,3689.2
2024-03-15,Hydro,MW,Karnataka,2024,3,3689.2
2024-04-15,Hydro,MW,Karnataka,2024,4,3689.2
2024-05-15,Hydro,MW,Karnataka,2024,5,3689.2
2024-06-15,Hydro,MW,Karnataka,2024,6,3689.2
2024-07-15,Hydro,MW,Karnataka,2024,7,3689.2
2024-08-15,Hydro,MW,Karnataka,2024,8,3689.2
2024-09-15,Hydro,MW,Karnataka,2024,9,3689.2
2024-10-15,Hydro,MW,Karnataka,2024,10,3689.2
2024-11-15,Hydro,MW,Karnataka,2024,11,3689.2
2024-12-15,Hydro,MW,Karnataka,2024,12,3689.2
2025-01-15,Hydro,MW,Karnataka,2025,1,3689.2
2025-02-15,Hydro,MW,Karnataka,2025,2,3689.2
2025-03-15,Hydro,MW,Karnataka,2025,3,3689.2
2025-04-15,Hydro,MW,Karnataka,2025,4,3689.2
2025-05-15,Hydro,MW,Karnataka,2025,5,3689.2
2025-06-15,Hydro,MW,Karnataka,2025,6,3689.2
2025-07-15,Hydro,MW,Karnataka,2025,7,3689.2
2025-08-15,Hydro,MW,Karnataka,2025,8,3689.2
2024-01-15,Solar,MW,Karnataka,2024,1,9463.74
2024-02-15,Solar,MW,Karnataka,2024,2,9498.74
2024-03-15,Solar,MW,Karnataka,2024,3,8544.68
2024-04-15,Solar,MW,Karnataka,2024,4,8718.02
2024-05-15,Solar,MW,Karnataka,2024,5,8798.25
2024-06-15,Solar,MW,Karnataka,2024,6,8819.77
2024-07-15,Solar,MW,Karnataka,2024,7,8820.04
2024-08-15,Solar,MW,Karnataka,2024,8,8829.33
2024-09-15,Solar,MW,Karnataka,2024,9,8930.1
2024-10-15,Solar,MW,Karnataka,2024,10,8930.1
2024-11-15,Solar,MW,Karnataka,2024,11,8975.65
2024-12-15,Solar,MW,Karnataka,2024,12,8986.94
2025-01-15,Solar,MW,Karnataka,2025,1,9282.19
2025-02-15,Solar,MW,Karnataka,2025,2,9312.71
2025-03-15,Solar,MW,Karnataka,2025,3,9679.66
2025-04-15,Solar,MW,Karnataka,2025,4,9690.13
2025-05-15,Solar,MW,Karnataka,2025,5,9876.57
2025-06-15,Solar,MW,Karnataka,2025,6,9925.44
2025-07-15,Solar,MW,Karnataka,2025,7,10060.84
2025-08-15,Solar,MW,Karnataka,2025,8,10083.34
2024-01-15,Wind,MW,Karnataka,2024,1,5817.07
2024-02-15,Wind,MW,Karnataka,2024,2,5918.26
2024-03-15,Wind,MW,Karnataka,2024,3,6019.61
2024-04-15,Wind,MW,Karnataka,2024,4,6224.99
2024-05-15,Wind,MW,Karnataka,2024,5,6311.61
2024-06-15,Wind,MW,Karnataka,2024,6,6469.61
2024-07-15,Wind,MW,Karnataka,2024,7,6516.47
2024-08-15,Wind,MW,Karnataka,2024,8,6553.97
2024-09-15,Wind,MW,Karnataka,2024,9,6564.36
2024-10-15,Wind,MW,Karnataka,2024,10,6724.36
2024-11-15,Wind,MW,Karnataka,2024,11,6724.37
2024-12-15,Wind,MW,Karnataka,2024,12,6731.3
2025-01-15,Wind,MW,Karnataka,2025,1,6851.9
2025-02-15,Wind,MW,Karnataka,2025,2,6878.3
2025-03-15,Wind,MW,Karnataka,2025,3,7351.1
2025-04-15,Wind,MW,Karnataka,2025,4,7507.99
2025-05-15,Wind,MW,Karnataka,2025,5,7605.84
2025-06-15,Wind,MW,Karnataka,2025,6,7714.74
2025-07-15,Wind,MW,Karnataka,2025,7,7760.44
2025-08-15,Wind,MW,Karnataka,2025,8,7842.69
2024-01-15,Small-Hydro,MW,Karnataka,2024,1,1280.73
2024-02-15,Small-Hydro,MW,Karnataka,2024,2,1280.73
2024-03-15,Small-Hydro,MW,Karnataka,2024,3,1280.73
2024-04-15,Small-Hydro,MW,Karnataka,2024,4,1280.73
2024-05-15,Small-Hydro,MW,Karnataka,2024,5,1280.73
2024-06-15,Small-Hydro,MW,Karnataka,2024,6,1280.73
